link,count
https://vk.com/public177618919,1
https://vk.com/public177918076,2
https://vk.com/public178368497,39
https://vk.com/public183293188,70
https://vk.com/public186213285,1
https://vk.com/public198566602,1
https://vk.com/public211261152,1
https://vk.com/public211834002,1
https://vk.com/public211892863,1
https://vk.com/public39439883,21
https://vk.com/public36965584,15
https://vk.com/public201329397,32
https://vk.com/public189788760,67
https://vk.com/public187366903,46
https://vk.com/public221569424,1
https://vk.com/public67965631,1
https://vk.com/public22744303,14
https://vk.com/public211022666,1
https://vk.com/public61054090,3
https://vk.com/public178132902,10
https://vk.com/public82267971,92
https://vk.com/public66932293,61
https://vk.com/public117605703,12
https://vk.com/public134969135,1
https://vk.com/public152990965,2
https://vk.com/public157823267,89
https://vk.com/public170567511,29
https://vk.com/public54530371,12
https://vk.com/public120891224,68
https://vk.com/public187760154,5
https://vk.com/public190599742,2
https://vk.com/public141632613,114
https://vk.com/public194976190,10
https://vk.com/public116308009,82
https://vk.com/public85187381,10
https://vk.com/public4100014,4
https://vk.com/public218242299,18
https://vk.com/public17096212,9
https://vk.com/public161642411,54
https://vk.com/public81574241,19
https://vk.com/public156270716,1
https://vk.com/public117149296,186
https://vk.com/public12895323,27
https://vk.com/public137996395,40
https://vk.com/public109575676,28
https://vk.com/public106403873,52
https://vk.com/public44327587,6
https://vk.com/public160909083,2
https://vk.com/public179664673,17
https://vk.com/public197477259,129
https://vk.com/public159224749,1
https://vk.com/public183248631,2
https://vk.com/public51304867,4
https://vk.com/public158153919,50
https://vk.com/public123002442,46
https://vk.com/public166774454,78
https://vk.com/public213482001,14
https://vk.com/public109323044,53
https://vk.com/public156630525,14
https://vk.com/public178369316,1
https://vk.com/public39786657,129
https://vk.com/public179141974,6
https://vk.com/public158693521,96
https://vk.com/public31271949,10
https://vk.com/public117185043,4
https://vk.com/public199729867,32
https://vk.com/public196726069,4
https://vk.com/public179625476,66
https://vk.com/public36057652,2
https://vk.com/public137762094,60
https://vk.com/public147286578,96
https://vk.com/public66219761,2
https://vk.com/public56150583,5
https://vk.com/public53484080,30
https://vk.com/public187747460,2
https://vk.com/public7660791,1
https://vk.com/public153577426,68
https://vk.com/public97665403,43
https://vk.com/public7275,4
https://vk.com/public125013968,1
https://vk.com/public210310352,55
https://vk.com/public123451822,17
https://vk.com/public186329836,9
https://vk.com/public55326998,6
https://vk.com/public36394318,15
https://vk.com/public87564111,32
https://vk.com/public207360905,1
https://vk.com/public1178375,1
https://vk.com/public4637396,1
https://vk.com/public24823541,5
https://vk.com/public28150569,1
https://vk.com/public39054348,1
https://vk.com/public44400667,3
https://vk.com/public47295745,1
https://vk.com/public79527724,4
https://vk.com/public79997904,20
https://vk.com/public81472820,6
https://vk.com/public109964404,18
https://vk.com/public110418865,1
https://vk.com/public121193596,11
https://vk.com/public131520226,5
https://vk.com/public132513822,1
https://vk.com/public137043731,6
https://vk.com/public145308891,1
https://vk.com/public151441696,2
https://vk.com/public152657847,4
https://vk.com/public163335726,1
https://vk.com/public169012512,5
https://vk.com/public174919523,1
https://vk.com/public182452023,4
https://vk.com/public186510832,1
https://vk.com/public187365901,1
https://vk.com/public202016963,3
https://vk.com/public13115180,1
https://vk.com/public26217154,3
https://vk.com/public26669118,1
https://vk.com/public29684347,1
https://vk.com/public40000202,1
https://vk.com/public40000232,1
https://vk.com/public48928605,2
https://vk.com/public62398004,3
https://vk.com/public50943531,9
https://vk.com/public22781583,27
https://vk.com/public221862503,2
https://vk.com/public86217001,103
https://vk.com/public152422852,1
https://vk.com/public199169843,21
https://vk.com/public213390586,2
https://vk.com/public120075923,52
https://vk.com/public196663826,5
https://vk.com/public210483146,3
https://vk.com/public221643112,1
https://vk.com/public93248495,3
https://vk.com/public30316056,123
https://vk.com/public189429309,5
https://vk.com/public42923342,3
https://vk.com/public68961079,18
https://vk.com/public45777592,12
https://vk.com/public211814361,6
https://vk.com/public215219174,1
https://vk.com/public153050613,29
https://vk.com/public52461685,1
https://vk.com/public147324244,43
https://vk.com/public101160869,2
https://vk.com/public213507173,2
https://vk.com/public202816849,2
https://vk.com/public172963629,3
https://vk.com/public205263746,2
https://vk.com/public29468395,1
https://vk.com/public43234662,5
https://vk.com/public202659018,18
https://vk.com/public124546430,24
https://vk.com/public76925849,1
https://vk.com/public95942352,2
https://vk.com/public189658231,4
https://vk.com/public169653940,5
https://vk.com/public100867898,7
https://vk.com/public185808385,21
https://vk.com/public154061809,26
https://vk.com/public104576488,2
https://vk.com/public191539795,29
https://vk.com/public189573612,2
https://vk.com/public150965183,38
https://vk.com/public34788285,29
https://vk.com/public114383292,21
https://vk.com/public159445401,3
https://vk.com/public192823341,2
https://vk.com/public41240374,14
https://vk.com/public195082137,8
https://vk.com/public120545562,14
https://vk.com/public176050710,17
https://vk.com/public140055473,3
https://vk.com/public37763998,23
https://vk.com/public202001199,23
https://vk.com/public36851811,26
https://vk.com/public199129704,13
